favorites,id,positive,negative,sentiment
133000,9.85529E+17,1,0,positive
93000,9.85505E+17,0,1,negative
97000,9.85502E+17,1,0,positive
96000,9.85496E+17,0,1,negative
109000,9.85493E+17,1,0,positive
96000,9.8549E+17,1,0,positive
95000,9.85487E+17,0,1,negative
100000,9.85484E+17,0,1,negative
152000,9.85133E+17,1,0,positive
189000,9.85131E+17,1,0,positive
98000,9.84967E+17,0,0,neutral
118000,9.84878E+17,0,0,neutral
105000,9.84829E+17,1,0,positive
134000,9.84768E+17,0,1,negative
119000,9.84764E+17,0,1,negative
102000,9.84759E+17,0,1,negative
74000,9.84631E+17,1,0,positive
77000,9.84507E+17,1,0,positive
62000,9.845E+17,1,0,positive
78000,9.84473E+17,1,0,positive
62000,9.84472E+17,0,0,neutral
59000,9.8438E+17,1,0,positive
107000,9.84374E+17,1,0,positive
81000,9.84373E+17,1,0,positive
82000,9.84371E+17,1,0,positive
52000,9.84232E+17,0,0,neutral
55000,9.84204E+17,1,0,positive
65000,9.84156E+17,0,0,neutral
34000,9.84096E+17,1,0,positive
58000,9.84066E+17,1,0,positive
92000,9.84054E+17,0,1,negative
118000,9.84033E+17,0,1,negative
163000,9.84023E+17,1,0,positive
72000,9.8402E+17,0,1,negative
65000,9.84018E+17,1,0,positive
63000,9.84016E+17,0,1,negative
76000,9.83824E+17,1,0,positive
100000,9.83774E+17,1,0,positive
83000,9.83699E+17,1,0,positive
115000,9.83663E+17,0,0,neutral
98000,9.83663E+17,0,1,negative
50000,9.83427E+17,1,0,positive
99000,9.83424E+17,1,0,positive
166000,9.83284E+17,1,0,positive
87000,9.83143E+17,1,0,positive
86000,9.8297E+17,0,1,negative
64000,9.82967E+17,0,1,negative
95000,9.82966E+17,1,0,positive
101000,9.82954E+17,1,0,positive
76000,9.82951E+17,1,0,positive
74000,9.82943E+17,1,0,positive
71000,9.82771E+17,1,0,positive
127000,9.8275E+17,1,0,positive
88000,9.82725E+17,1,0,positive
74000,9.82723E+17,0,1,negative
101000,9.82682E+17,1,0,positive
85000,9.8268E+17,0,1,negative
88000,9.82673E+17,0,1,negative
38000,9.82354E+17,1,0,positive
91000,9.82353E+17,0,1,negative
65000,9.82293E+17,0,0,neutral
85000,9.82268E+17,0,1,negative
90000,9.82265E+17,1,0,positive
76000,9.82214E+17,1,0,positive
47000,9.81992E+17,1,0,positive
66000,9.81988E+17,1,0,positive
87000,9.81882E+17,0,1,negative
88000,9.81859E+17,1,0,positive
94000,9.8167E+17,0,0,neutral
70000,9.81548E+17,0,0,neutral
82000,9.81544E+17,1,0,positive
82000,9.81522E+17,0,1,negative
135000,9.81492E+17,1,0,positive
93000,9.81491E+17,1,0,positive
103000,9.81288E+17,1,0,positive
79000,9.8126E+17,0,0,neutral
43000,9.81249E+17,1,0,positive
79000,9.81168E+17,1,0,positive
93000,9.81126E+17,1,0,positive
66000,9.81124E+17,1,0,positive
93000,9.81121E+17,0,1,negative
81000,9.81118E+17,0,1,negative
86000,9.80989E+17,0,0,neutral
70000,9.80967E+17,1,0,positive
97000,9.80964E+17,1,0,positive
74000,9.80961E+17,1,0,positive
84000,9.80958E+17,0,1,negative
53000,9.80847E+17,0,0,neutral
48000,9.80832E+17,0,0,neutral
75000,9.80807E+17,0,1,negative
72000,9.80801E+17,0,1,negative
77000,9.80799E+17,1,0,positive
72000,9.80794E+17,0,1,negative
85000,9.80766E+17,1,0,positive
84000,9.80764E+17,1,0,positive
71000,9.80762E+17,1,0,positive
79000,9.80452E+17,0,0,neutral
118000,9.80451E+17,0,1,negative
123000,9.80444E+17,0,1,negative
196000,9.80421E+17,1,0,positive
92000,9.80065E+17,0,1,negative
84000,9.80065E+17,0,1,negative
77000,9.80064E+17,0,1,negative
83000,9.79817E+17,0,0,neutral
99000,9.7945E+17,1,0,positive
70000,9.79448E+17,1,0,positive
70000,9.79444E+17,1,0,positive
122000,9.79327E+17,1,0,positive
45000,9.79109E+17,1,0,positive
74000,9.79109E+17,1,0,positive
112000,9.79082E+17,1,0,positive
63000,9.7903E+17,1,0,positive
104000,9.7903E+17,1,0,positive
52000,9.79029E+17,1,0,positive
97000,9.78939E+17,0,1,negative
107000,9.78936E+17,1,0,positive
182000,9.78933E+17,1,0,positive
64000,9.78702E+17,1,0,positive
98000,9.78433E+17,1,0,positive
65000,9.78368E+17,1,0,positive
125000,9.7825E+17,1,0,positive
92000,9.78226E+17,1,0,positive
70000,9.78111E+17,1,0,positive
48000,9.77904E+17,0,0,neutral
61000,9.77895E+17,1,0,positive
77000,9.77875E+17,1,0,positive
63000,9.77873E+17,1,0,positive
75000,9.77858E+17,1,0,positive
110000,9.77856E+17,1,0,positive
78000,9.7785E+17,1,0,positive
78000,9.77586E+17,0,1,negative
67000,9.77319E+17,0,0,neutral
77000,9.77286E+17,0,1,negative
45000,9.77222E+17,0,0,neutral
146000,9.77167E+17,0,1,negative
68000,9.7716E+17,0,1,negative
73000,9.77125E+17,0,1,negative
90000,9.76948E+17,1,0,positive
47000,9.76914E+17,0,0,neutral
64000,9.76891E+17,0,1,negative
88000,9.76771E+17,1,0,positive
242000,9.76765E+17,0,1,negative
77000,9.76656E+17,1,0,positive
103000,9.76655E+17,1,0,positive
80000,9.76535E+17,0,0,neutral
122000,9.76533E+17,0,1,negative
73000,9.7642E+17,1,0,positive
78000,9.76416E+17,0,0,neutral
56000,9.76411E+17,0,1,negative
128000,9.76405E+17,1,0,positive
132000,9.7612E+17,1,0,positive
93000,9.75892E+17,1,0,positive
103000,9.75721E+17,0,0,neutral
47000,9.75708E+17,1,0,positive
118000,9.7535E+17,1,0,positive
121000,9.75347E+17,0,1,negative
96000,9.75342E+17,0,1,negative
97000,9.75163E+17,0,1,negative
134000,9.75063E+17,1,0,positive
108000,9.75057E+17,1,0,positive
88000,9.75024E+17,1,0,positive
154000,9.7486E+17,1,0,positive
62000,9.74702E+17,1,0,positive
67000,9.74683E+17,1,0,positive
107000,9.74657E+17,1,0,positive
55000,9.74463E+17,0,0,neutral
102000,9.74423E+17,1,0,positive
58000,9.74341E+17,1,0,positive
74000,9.74276E+17,1,0,positive
77000,9.74242E+17,1,0,positive
63000,9.74141E+17,1,0,positive
63000,9.7407E+17,1,0,positive
64000,9.74052E+17,1,0,positive
88000,9.74034E+17,1,0,positive
36000,9.74033E+17,0,0,neutral
79000,9.73931E+17,0,1,negative
53000,9.7392E+17,1,0,positive
69000,9.7391E+17,1,0,positive
85000,9.73907E+17,1,0,positive
80000,9.73719E+17,0,0,neutral
68000,9.73717E+17,1,0,positive
89000,9.73686E+17,0,0,neutral
118000,9.73581E+17,0,1,negative
65000,9.73581E+17,0,1,negative
81000,9.73569E+17,0,0,neutral
116000,9.7354E+17,1,0,positive
71000,9.73536E+17,1,0,positive
151000,9.7336E+17,0,1,negative
72000,9.73306E+17,1,0,positive
48000,9.73208E+17,1,0,positive
74000,9.732E+17,1,0,positive
52000,9.73188E+17,1,0,positive
77000,9.73186E+17,1,0,positive
